,OrderId,Companhia,Secao,Tipo_Questao,Nota,Motivo_Selecionado,Comentario,Grupo_Motivo,Classificacao_NPS
12600,2600049,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que o atendimento foi bom ,Qualidade do atendimento,Promotor
12603,2600083,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Satisfeito com o atendimento.,Qualidade do atendimento,Promotor
12605,2600093,Ezze Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente ressalta facilidade e tranquilidade no atendimento.,Qualidade do atendimento,Promotor
12607,2600102,Bradesco Seguros,Parabrisa,Carglass,9,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente ressalta o pronto atendimento e rapidez na resposta, e gostou da loja direcionada ser na mesma cidade. ",Qualidade do atendimento,Promotor
12608,2712692,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Vinicius, ele informou que foi tudo ok, ressaltou o agendamento que foi rápido ",Qualidade do atendimento,Promotor
12609,2600113,Bradesco Seguros,Farol Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,Foi bem atendida,Qualidade do atendimento,Promotor
12610,2600116,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"cliente informa que não teve problemas, somente uma questão que seria em relação ao agendamento que foi agendado ele e outra pessoa no mesmo horário, como o serviço da outra pessoa era rápido deu certo, mas poderia ter atrapalhado ele, a loja falou para ele que esse seria um problema da Bradesco. Esclareci que a loja que passa os horários para central. ",Qualidade do atendimento,Promotor
12611,2600124,Bradesco Seguros,Funilaria Para-Choque Traseiro Direito/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Foi um atendimento rápido, agendamento rápido e o atendimento foi na residência. ",Qualidade do atendimento,Promotor
12613,2712654,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,9,Rapidez no atendimento e serviço prestado,"atendimento via telefone a o prestador de serviço que fez o serviço , atingiu minhas expectativas.
",Qualidade do atendimento,Promotor
12615,2600162,HelpS - Santander,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,"Agilidade em tudo atendimento me senti em casa seguro super recomendo parabéns em tudo 
",Qualidade do atendimento,Promotor
12616,2600171,Seguros Sura,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que nao teve nenhum problema e foi tudo tranquilo na abertura do atendimento,Qualidade do atendimento,Promotor
12617,2712603,Seguros Sura,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Yuri, ele informou que foi atendimento bem rápido,  assim que solicitou a ordem de serviço já agilizou e no mesmo dia saiu para fazer a troca.",Qualidade do atendimento,Promotor
12619,2712587,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com cliente responsável  Giovani  informou que ,foram bem prestativos e  o serviço foi bem satisfatório . ",Qualidade do atendimento,Promotor
12621,2600248,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Foi bom o atendimento.,Qualidade do atendimento,Promotor
12624,2600255,ALD Comfort,Vidro Lateral Direito/Passageiro,Carglass,9,Qualidade do atendimento em geral,Foi bem atendida,Qualidade do atendimento,Promotor
12625,2600259,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Atendimento ótimo, rapidez no processo, super satisfeito.",Qualidade do atendimento,Promotor
12626,2600297,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Não teve problemas, o atendimento foi rápido e ágil . ",Qualidade do atendimento,Promotor
12628,2712494,Bradesco Seguros,Porta Traseira Direita/Passageiro,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Atendimento profissional ,Liberação,Promotor
12629,2712483,Porto Seguro,Para-lama Dianteiro Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Atendimento perfeito o resultado do reparo sensacional parabéns a oficina ????????,Qualidade do atendimento,Promotor
12630,2712478,Azul Seguros,Funilaria Porta Traseira Esquerda,Disk Reparo,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento impecável e profissional excelente ,Qualidade do atendimento,Promotor
12631,2712461,Azul Seguros,Funilaria Tampa traseira,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Daniela , informou que gostou da  rapidez na autorização. ",Qualidade do atendimento,Promotor
12632,2712454,ALD Comfort,Lanterna Traseira Direita/Passageiro,Carglass,10,Atendimento móvel a domicilio,"Em contato com Willian, informou que gostou do atendimento e da questão de ter a opção para realizar o serviço em casa. ",Atendimento Móvel ,Promotor
12633,2600360,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente ressalta rapidez, bom atendimento e transparência. ",Qualidade do atendimento,Promotor
12634,2712352,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Erickson, ele informou que o agendamento no site é bem simples .",Qualidade do atendimento,Promotor
12635,2600379,Azul Seguros,Porta Traseira Direita/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento muito bom,Qualidade do atendimento,Promotor
12636,2712346,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente informou que, ficou bem satisfeito com o atendimento.",Qualidade do atendimento,Promotor
12637,2712331,ALD Automotive,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Ricardo, informou que gostou do serviço e tempo de atendimento .",Qualidade do atendimento,Promotor
12638,2712327,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com MAURICIO, informou que o serviço foi  bem prestado.",Qualidade do atendimento,Promotor
12640,2600432,Porto Seguro,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"O cliente Miguel deu tudo certo, foi como esperava.",Qualidade do atendimento,Promotor
12641,2712311,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Emanuel, ele informou que foi bem explicativo

",Qualidade do atendimento,Promotor
12642,2600449,Bradesco Seguros,Vigia,Carglass,10,Qualidade do atendimento em geral,"Atenção, comprometimento, pontualidade e agilidade. ",Qualidade do atendimento,Promotor
12643,2600457,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,.,Qualidade do atendimento,Promotor
12644,2712290,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Excelente serviço.,Liberação,Promotor
12646,2600474,Azul Seguros,Funilaria Para-lama Traseiro Direito,Carglass,10,Rapidez e facilidade para abertura do atendimento,Parabéns ,Abertura do atendimento,Promotor
12647,2712271,Azul Seguros,Funilaria Para-lama Traseiro Esquerdo,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com DANILO, informou que o atendimento foi rápido e pode escolher a oficina. ",Qualidade do atendimento,Promotor
12651,2600544,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O cliente Alcides foi bem atendido.,Qualidade do atendimento,Promotor
12652,2712171,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"EM contato com PAULO HENRIQUE, informou que foi tudo rápido na resolução e agendamento, sem burocracia. ",Qualidade do atendimento,Promotor
12653,2600557,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta agilidade. ,Qualidade do atendimento,Promotor
12654,2712159,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,9,Qualidade do atendimento em geral,"Em contato com cliente informou que ,deu tudo certo .
",Qualidade do atendimento,Promotor
12655,2712151,Seguros Sura,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Flavio, informou que foi muito rápido. ",Qualidade do atendimento,Promotor
12656,2712128,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,Rapidez no atendimento e serviço prestado,"Pontualidade, atendimento e rapidez na execução do serviço.",Qualidade do atendimento,Promotor
12657,2712112,Azul Seguros,Funilaria Para-lama Traseiro Direito,Disk Reparo,9,Qualidade do atendimento – telefonia e agendamento,Agendamento rápido ,Liberação,Promotor
12658,2600637,Azul Seguros,Funilaria Para-Choque Traseiro Direito/Passageiro,Disk Reparo,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento muito bom veio no dia certo e hora certa o Rodolfo que executou o serviço muito prestativo um ótimo profissional parabéns ,Qualidade do atendimento,Promotor
12659,2600646,Porto Seguro,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Qualidade do atendimento em geral,"O cliente Fausto (filho) gostou do atendimento bom, rápido e prático.",Qualidade do atendimento,Promotor
12660,2600677,ALD Automotive,Parabrisa,Carglass,9,Qualidade do atendimento em geral,Foi bem atendido,Qualidade do atendimento,Promotor
12662,2712081,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,"Adilson, informou que o atendimento ótimo e  legal ",Qualidade do atendimento,Promotor
12664,2600697,Porto Seguro,Funilaria Para-Choque Dianteiro Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Em contato com o cliente informou que foi bem atendido. ,Qualidade do atendimento,Promotor
12669,2600740,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Cliente informou que o atendimento rápido e fácil.,Qualidade do atendimento,Promotor
12670,2600750,Porto Seguro,Funilaria Para-Choque Traseiro Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,"Sr. Adriano esposo da segurada, falou que o atendimento foi muito bom, funcionários bem atenciosos. ",Qualidade do atendimento,Promotor
12671,2600755,Porto Seguro,Funilaria Porta Traseira Direita,Carglass,10,Qualidade do atendimento – telefonia e agendamento,"Profissionais capacitados, educados, prestativos",Liberação,Promotor
12672,2600783,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Atendimento rápido ,Qualidade do atendimento,Promotor
12673,2711968,Bradesco Seguros,Funilaria Para-lama Traseiro Esquerdo,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente informou que ,foi bem atendida .
",Qualidade do atendimento,Promotor
12674,2711965,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com EVANDRO, informou que atendeu as necessidades na hora que precisou. ",Qualidade do atendimento,Promotor
12675,2711956,Bradesco Seguros,Tampa traseira,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Rápido e Eficiente,Qualidade do atendimento,Promotor
12677,2711933,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Telma, ela informou que foi muito bem atendida.",Qualidade do atendimento,Promotor
12678,2711929,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Marcio, ele informou que foi bem atendido.",Qualidade do atendimento,Promotor
12679,2600849,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e informa que deu tudo certo.,Qualidade do atendimento,Promotor
12682,2600866,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Bom,Qualidade do atendimento,Promotor
12683,2600872,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o bom atendimento.,Qualidade do atendimento,Promotor
12685,2600882,Porto Seguro,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Qualidade do atendimento – telefonia e agendamento,"Agilidade no atendimento e sempre ter um local próximo para nos atender é um diferencial E também o atendimento eletrônico podendo mandar as imagens pelo WhatsApp facilita muito 
",Liberação,Promotor
12686,2600929,Porto Seguro,Funilaria Para-lama Traseiro Direito,Disk Reparo,10,A experiência com atendimento e serviço prestado agradou o cliente,agilidade superou a expectativa,Qualidade do atendimento,Promotor
12688,2600956,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Foi bem atendida,Qualidade do atendimento,Promotor
12689,2600960,Bradesco Seguros,Vigia,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que nao teve dificuldade na abertura. ,Qualidade do atendimento,Promotor
12690,2711775,Bradesco Seguros,Funilaria Porta Traseira Direita,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente informou que , foi bem atendido.
",Qualidade do atendimento,Promotor
12691,2711748,Porto Seguro,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,Excelente atendimento e agendamento rápido. ,Qualidade do atendimento,Promotor
12695,2601035,Azul Seguros,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,10,Qualidade do atendimento,Promotor
12696,2711717,Bradesco Seguros,Parabrisa,Carglass,10,Rapidez no atendimento e serviço prestado,Todo o processo foi rápido desde a abertura na seguradora até a finalização do serviço.,Qualidade do atendimento,Promotor
12699,2601089,Porto Seguro,Funilaria Para-Choque Traseiro,Disk Reparo,10,Qualidade técnica do serviço prestado,Serviço executado com excelência e rapidez! Atendimento também muito bom com foco no cliente!,Qualidade do serviço executado,Promotor
12702,2711676,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Em contato com Bruno( filho) ele informou que gostou do procedimento que foi rápido ,Qualidade do atendimento,Promotor
12704,2601144,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que atendimento foi bom. ,Qualidade do atendimento,Promotor
12705,2711671,Bradesco Seguros,Lanterna Traseira Direita/Passageiro,Carglass,10,Qualidade do atendimento em geral,"Em contato com a cliente Margareth Esposa  , informou que foi perfeito o atendimento .",Qualidade do atendimento,Promotor
12706,2601147,Bradesco Seguros,Parabrisa,Carglass,10,Rapidez no atendimento e serviço prestado,"Atendimento via seguradora e veículo seguiu para concessionária, ainda não vi o serviço, mas aprovei o atendimento à distância!",Qualidade do atendimento,Promotor
12707,2711642,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Ricardo (esposo) , ele informou que atendimento foi rápido, a parte da confirmação de horário tudo favorável conforme combinado cumpriu com o prazo.",Qualidade do atendimento,Promotor
12708,2711609,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,"Em contato com Elias, ele informou que ficou satisfeito, foi bem atendido e  foram bem ágeis.",Qualidade do atendimento,Promotor
12709,2711606,Bradesco Seguros,Farol Direito/Passageiro Led,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com VINICIUS , informou que deu tudo certo . ",Qualidade do atendimento,Promotor
12711,2711567,ALD Automotive,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Amanda, informou que gostou da rapidez e qualidade do atendimento.",Qualidade do atendimento,Promotor
12712,2601270,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Ricardo não teve problemas.,Qualidade do atendimento,Promotor
12714,2601322,Porto Seguro,Funilaria Capô,Carglass,10,Qualidade do atendimento em geral,"Até o momento, tudo certo como combinado.",Qualidade do atendimento,Promotor
12715,2601324,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez. ,Qualidade do atendimento,Promotor
12716,2601337,ALD Automotive,Parabrisa,Carglass,10,Qualidade do atendimento em geral,A cliente Lidiana foi bem atendida.,Qualidade do atendimento,Promotor
12718,2601354,ALD Automotive,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e bom atendimento. ,Qualidade do atendimento,Promotor
12719,2711482,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Bom atendimento e agilidade na resolução ,Qualidade do atendimento,Promotor
12720,2711468,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com Vlanilton, ele informou que bem atendido, só deixou uma observação em questão da loja que ficou um pouco longe para ele.
",Qualidade do atendimento,Promotor
12721,2601372,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Cliente informa que gostou do atendimento, foi super bacana. ",Qualidade do atendimento,Promotor
12726,2601401,Porto Seguro,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade Técnica do serviço,cliente ressalta bom serviço e agilidade. ,Qualidade do serviço executado,Promotor
12727,2601408,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o bom atendimento. Foi otimo. ,Qualidade do atendimento,Promotor
12728,2711410,Azul Seguros,Funilaria Para-Choque Traseiro,Carglass,9,Qualidade do atendimento em geral,Entraram em contato rapidamente para agendar o serviço e realizar a vistoria.,Qualidade do atendimento,Promotor
12729,2601413,Porto Seguro,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade do atendimento em geral,Fui muito bem atendido e o serviço foi executado dentro do prazo informado.,Qualidade do atendimento,Promotor
12730,2711405,Bradesco Seguros,Parabrisa,Carglass,9,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com  Jeferson, ele informa que gostou da  agilidade na abertura do protocolo e do acompanhamento.

",Qualidade do atendimento,Promotor
12735,2711323,Arval,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Arthur, ele informa que foi a solução foi  bem rápida.",Qualidade do atendimento,Promotor
12738,2711292,Bradesco Seguros,Vigia,Carglass,10,Rapidez no atendimento e serviço prestado,"Rápido atendimento, empático no telefone e serviço impecável. Muito profissional ",Qualidade do atendimento,Promotor
12740,2711252,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,Rapidez no atendimento e serviço prestado,muito boa  rapida e eficiente,Qualidade do atendimento,Promotor
12741,2711249,Azul Seguros,Funilaria Para-lama Traseiro Direito,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"EM contato com NOEMIA , informou que gostou da rapidez no atendimento telefônico e resposta.",Qualidade do atendimento,Promotor
12742,2601504,Bradesco Seguros,Funilaria Para-lama Traseiro Direito,Carglass,10,Qualidade do atendimento em geral,"Bom atendimento e o serviço ficou bom, dentro da expectativa.",Qualidade do atendimento,Promotor
12744,2601531,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento. ,Qualidade do atendimento,Promotor
12745,2711245,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado," Em contato com cliente informou que  foi bem atendido ,foram rápidos e deram atenção ao seu problema .",Qualidade do atendimento,Promotor
12749,2711102,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Rápido atendimento. Obrigado ,Qualidade do atendimento,Promotor
12750,2601615,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"A cliente Pilar foi bem atendida, mas demorou um pouco.",Qualidade do atendimento,Promotor
12754,2601668,Azul Seguros,Funilaria Porta Dianteira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,atendimento ótimo e o serviço ficou ótimo amei,Qualidade do atendimento,Promotor
12757,2601749,Bradesco Seguros,Parabrisa,Carglass,9,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e facilidade. ,Qualidade do atendimento,Promotor
12758,2601756,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O cliente Fernando foi bem atendido e troca foi rápida.,Qualidade do atendimento,Promotor
12760,2601796,Porto Seguro,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,"Profissionalismo, dedicação e atenção da corretora que conduziu o atendimento, agendamento e acompanhamento ",Qualidade do atendimento,Promotor
12761,2710943,Azul Seguros,Para-lama Traseiro Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Em contato Rogerio( esposo) ele informou que são excelentes.,Qualidade do atendimento,Promotor
12762,2601805,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,Rapidez no atendimento e serviço prestado,Excelente atendimento desde o início até o conclusão ,Qualidade do atendimento,Promotor
12763,2710935,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Em contato com o cliente informou que foi bem atendido. ,Qualidade do atendimento,Promotor
12766,2601851,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta a eficiente e um bom prazo para entrega da peça. ,Qualidade do atendimento,Promotor
12767,2710911,Porto Seguro,Funilaria Para-Choque Dianteiro Direito/Passageiro,Disk Reparo,10,Qualidade do atendimento – telefonia e agendamento,Ótimo atendimento em todo o trabalho ,Liberação,Promotor
12768,2601886,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"O responsável Nicolas teve um excelente atendimento, bem atencioso.",Qualidade do atendimento,Promotor
12773,2601917,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Sandra (Mãe do segurado) , não teve problemas deu tudo certo.",Qualidade do atendimento,Promotor
12776,2710869,Azul Seguros,Funilaria Capô,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Cliente informou que o atendimento, atendentes foram bem rápidos ",Qualidade do atendimento,Promotor
12777,2601970,HelpS - Santander,Funilaria Porta Dianteira Esquerda,Carglass,10,Qualidade do atendimento em geral,Precisei acionar o seguro e fui muito bem atendido,Qualidade do atendimento,Promotor
12778,2710857,Bradesco Seguros,Reparo (1 Ponto),Carglass,9,Qualidade do atendimento em geral,"Em contato com Leandro, ele informou que deu nota 9 porque sempre tem algo a melhorar mais, ressaltou também a  questão do acionamento que não foi aprovado de imediato.
",Qualidade do atendimento,Promotor
12779,2601976,Bradesco Seguros,Troca Maquina de  vidro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Profissionalismo, informação assertiva, transparência e prestativo ",Qualidade do atendimento,Promotor
12781,2601983,Bradesco Seguros,Lanterna Traseira Interica,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que deu tudo certo no seu atendimento. ,Qualidade do atendimento,Promotor
12782,2710845,Azul Seguros,Funilaria Tampa traseira,Carglass,9,Qualidade do atendimento em geral,Foi tudo resolvido em pouco espaço de tempo....,Qualidade do atendimento,Promotor
12783,2710843,Azul Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Maria, informou que foi tudo certo e rápido com procedimento de vistoria online.",Qualidade do atendimento,Promotor
12784,2601995,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Wilson informa que deu tudo certo.,Qualidade do atendimento,Promotor
12785,2601997,Bradesco Seguros,Lanterna Traseira Direita/Passageiro Led,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que foi perfeito. ,Qualidade do atendimento,Promotor
12788,2602021,ALD Comfort,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"O cliente Elon achou o atendimento bom, o agendamento foi feito certinho, mas achou a loja distante de sua região.",Qualidade do atendimento,Promotor
12789,2602023,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,O cliente Marcones gostou da rapidez do atendimento.,Qualidade do atendimento,Promotor
12790,2710786,Porto Seguro,Funilaria Porta Dianteira Esquerda,Carglass,10,Rapidez no atendimento e serviço prestado,Atendimento e eficiência no reparo,Qualidade do atendimento,Promotor
12791,2710777,Bradesco Seguros,Farol Direito/Passageiro Led,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Rosely, informou que foi rápido o atendimento .",Qualidade do atendimento,Promotor
12792,2602028,VW Protege,Parabrisa,Volkswagen,10,A experiência com atendimento e serviço prestado,cliente informa que nao teve problemas com a loja. ,Qualidade do atendimento,Promotor
12795,2710701,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,"Em contato com responsável  Caio  informou que ,foi  bem atendido que resolveram tudo .",Qualidade do atendimento,Promotor
12798,2710649,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,O prestador Rodrigo atendeu com atenção e o trabalho de funilaria está excelente ,Qualidade do atendimento,Promotor
12799,2602104,Porto Seguro,Funilaria Para-Choque Traseiro,Disk Reparo,9,Rapidez no atendimento e serviço prestado,"Gostei muito do serviço e qualidade, mas poderiam estar melhorando em atender  demais riscos presentes na peça contratada e não apenas ao que foi citado inicialmente, já que o valor cobrado é por peça.",Qualidade do atendimento,Promotor
12801,2710613,Bradesco Seguros,Funilaria Porta Traseira Direita,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente informou que ,foi bem atendido .
",Qualidade do atendimento,Promotor
12804,2602147,Porto Seguro,Porta Dianteira Esquerda/Motorista,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Equipe qualificada.,Liberação,Promotor
12805,2602149,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Bem atendida da recepção até a execução final do serviço. ,Qualidade do atendimento,Promotor
12808,2602169,Leaseplan,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Geovani não teve problemas.,Qualidade do atendimento,Promotor
12809,2710543,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Nelson, ele informou que não teve problema no atendimento, ressaltou a agilidade,",Qualidade do atendimento,Promotor
12810,2710540,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Mariana, informou que o atendimento foi ótimo.
",Qualidade do atendimento,Promotor
12811,2602193,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"A responsável Arlinda foi bem atendida, tanto no agendamento quanto no serviço prestado.",Qualidade do atendimento,Promotor
12812,2710533,Bradesco Seguros,Vigia,Carglass,10,Qualidade do atendimento em geral,A instalação ficou perfeita pra ajudar e confirmar dias depois choveu e não houve nenhuma infiltração de água ótimo serviço ,Qualidade do atendimento,Promotor
12814,2710531,Porto Seguro,Porta Traseira Direita/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Ótimo atendimento,Qualidade do atendimento,Promotor
12816,2710530,Porto Seguro,Funilaria Para-lama Traseiro Direito,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Excelente atendimento, super profissional!",Qualidade do atendimento,Promotor
12817,2602236,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista Led,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que ficou satisfeita. ,Qualidade do atendimento,Promotor
12818,2710525,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com cliente informou que, foi super bem atendido .",Qualidade do atendimento,Promotor
12820,2710517,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Renato, ele informou que não teve problema no agendamento gostou muito, ressaltou como sendo  atencioso.",Qualidade do atendimento,Promotor
12821,2710503,Bradesco Seguros,Farol Auxiliar Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,"Em contato com Eduardo, informou que foi bem atendido .",Qualidade do atendimento,Promotor
